,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita_uno,Growth,GDP_per_capita_otro,Unemployment,url,Average_Annual_percent_sunshine
121,115,0.19,1,2,38,Universiti Putra Malaysia,$43.00,$3.00,$35.00,$3.60,$720,$610,$490,Kuala-Lumpur,"Kuala Lumpur, Malaysia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and leisure & culture.
Kuala Lumpur is one of the top ten city matches for 0.5% of Teleport users.","6,265,700",0.09,Married couples only,✖ Illegal (imprisonment as punishment),✖ Unrecognized,0.06,311,357,159,253,MYR,$24654.19,10%,"$24,654",3%,https://teleport.org/cities/kuala-lumpur/,12.5
122,71,1.00,0,1,3,Kyoto University,$100.00,$3.00,$16.00,$83.00,$1100,$900,$660,Kyoto,"Kyoto, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.","2,234,100",0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,166,90,93,32,JPY,$37389.79,-2%,"$37,390",3%,https://teleport.org/cities/kyoto/,No hay dato
123,42,0.10,33,2,No hay dato,No hay dato,$43.00,$0.97,$39.00,$6.00,$820,$720,$630,Lagos,"Lagos, Nigeria, differentiates itself with low living costs. This urban area is consistently ahead in housing.","9,934,700",0.01,✖ Illegal,"Male illegal, female uncertain",✖ Not legal,0.05,47,65,6,17,NGN,$6031.42,13%,"$6,031",24%,https://teleport.org/cities/lagos/,312
124,16,0.11,1,3,No hay dato,No hay dato,$27.00,$1.50,$5.80,$55.00,$550,$430,$300,La-Paz,"La Paz, Bolivia, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","812,800",0.43,✖ Single only,✔ Legal,✖ Unrecognized,0.13,32,33,32,38,BOB,$6220.93,7%,"$6,221",8%,https://teleport.org/cities/la-paz/,12.5
125,80,0.47,1,10,17,490.84,$43.00,$1.20,$48.00,$13.00,$910,$740,$560,Las-Palmas-de-Gran-Canaria,"Las Palmas de Gran Canaria, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","381,800",0.88,✔ Legal,✔ Legal,✔ Legal,0.21,22,30,14,11,EUR,$33711.41,3%,"$33,711",20%,https://teleport.org/cities/las-palmas-de-gran-canaria/,65
126,133,0.11,14,168,16,478.04,$28.00,$1.90,$61.00,$13.00,$1200,$1000,$880,Las-Vegas,"Las Vegas, Nevada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, startups and healthcare.
Las Vegas is one of the top ten city matches for 0.3% of Teleport users.","1,953,000",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.50,0.08,229,166,71,41,USD,$54596.65,17%,"$54,597",5%,https://teleport.org/cities/las-vegas/,211
127,101,0.83,3,24,11,École Polytechnique Fédérale de Lausanne,$100.00,$1.60,$84.00,$24.00,$2400,$1800,$1300,Lausanne,"Lausanne, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and education.","214,600",81.79,✔ Equal,✔ Sexual orientation and gender identity,0.86,0.08,40,35,26,13,CHF,$58087.21,6%,"$58,087",3%,https://teleport.org/cities/lausanne/,No hay dato
128,159,0.63,0,6,17,University of Leeds,$41.00,$2.20,$73.00,$19.00,$1300,$1100,$920,Leeds,"Leeds, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","598,000",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,46,69,18,32,GBP,$39510.94,2%,"$39,511",5%,https://teleport.org/cities/leeds/,91
129,28,0.67,1,30,9,517.09,$36.00,$1.00,$86.00,$11.00,$970,$750,$520,Leipzig,"Leipzig, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","560,700",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,97,74,45,18,EUR,$45888.42,0%,"$45,888",4%,https://teleport.org/cities/leipzig/,290
130,155,1.00,3,31,19,Lille 1 University – Science and Technology,$40.00,$2.50,$64.00,$15.00,$1200,$940,$710,Lille,"Lille, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","478,800",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,65,43,31,84,EUR,$40374.53,0%,"$40,375",10%,https://teleport.org/cities/lille/,12.9
131,56,0.10,6,19,47,365.47,$53.00,$2.20,$32.00,$4.40,$750,$610,$470,Lima,"Lima, Peru, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and leisure & culture.","8,902,900",69.04,✔ Equal,✔ Sexual orientation and gender identity,0.52,0.18,69,145,64,103,PEN,$11817.04,9%,"$11,817",6%,https://teleport.org/cities/lima/,12.5
132,103,0.36,2,9,18,Instituto Superior Técnico Lisboa,$51.00,$1.40,$45.00,$11.00,$1300,$1100,$800,Lisbon,"Lisbon, one of the oldest cities in the world, is a charming mix of Paris and San Francisco—at a fraction of the price. It offers a relaxed and tolerant environment with great local cuisine. Its central areas are best navigated by foot, allowing you to enjoy the grand architecture and pleasant climate, while its affordable public transportation system offers easy access to the rest of the city.
Lisbon is one of the top ten city matches for 10.4% of Teleport users.","3,015,100",95.36,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.23,69,88,108,78,EUR,$26974.63,0%,"$26,975",11%,https://teleport.org/cities/lisbon/,218
133,160,0.64,0,6,17,University of Liverpool,$43.00,$1.90,$76.00,$16.00,$1100,$920,$750,Liverpool,"Liverpool, United Kingdom, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, travel connectivity and business freedom.","1,587,200",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,54,69,33,23,GBP,$39510.94,1%,"$39,511",5%,https://teleport.org/cities/liverpool/,89
134,25,0.27,3,14,9,University of Ljubljana,$56.00,$1.30,$46.00,$11.00,$960,$740,$530,Ljubljana,"Ljubljana, Slovenia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Ljubljana is one of the top ten city matches for 1.7% of Teleport users.","307,300",70.90,✔ Equal,Sexual orientation only,0.92,0.22,57,56,30,12,EUR,$29657.78,4%,"$29,658",12%,https://teleport.org/cities/ljubljana/,200
135,357,0.88,0,6,17,Imperial College London,$77.00,$2.60,$200.00,$18.00,$3200,$2500,$1900,London,"By Matteo Pozzi

London is packed with endless opportunities: it is one of the world's most inviting cities for startups, as well as home to world-class schools, universities and museums. There is a robust transport network offering fast and easy commuting around London. With its vibrant multicultural environment, London offers an enormous variety of cuisines, recreational opportunities and cultural activities that appeal to virtually any interest.
London is one of the top ten city matches for 17.3% of Teleport users.","15,760,000",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,212,351,163,265,GBP,$39510.94,5%,"$39,511",5%,https://teleport.org/cities/london/,241.4
136,152,0.13,8,61,24,California Institute of Technology,$50.00,$2.60,$88.00,$14.00,$2700,$2300,$1800,Los-Angeles,"Los Angeles is a sprawling city of 500 square miles and the heart of a metropolitan area with 18 million residents. It is a fabled California region, home to Hollywood and America's entertainment industry with year-round sunshine, world-famous beaches, and an intense car culture. The ""City of Angels"" is a magnet to people from around the world and a uniquely exciting environment.
Los Angeles is one of the top ten city matches for 11.5% of Teleport users.","19,042,300",93.19,✔ Equal,✔ Sexual orientation and gender identity,0.44,0.09,270,282,227,222,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/los-angeles/,147
137,22,0.12,14,120,16,478.04,$36.00,$3.10,$56.00,$11.00,$1100,$950,$750,Louisville,"Louisville, Kentucky, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","701,400",71.09,✔ Equal,✖ No protections,0.44,0.06,114,88,55,43,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/louisville/,93
138,62,0.48,1,15,25,494.80,$76.00,$1.70,$48.00,$20.00,$2700,$2100,$1500,Luxembourg,"Luxembourg, Luxembourg, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Luxembourg is one of the top ten city matches for 1.6% of Teleport users.","126,100",89.78,✔ Equal,✔ Sexual orientation and gender identity,0.84,0.17,23,20,18,10,EUR,$92048.55,9%,"$92,049",7%,https://teleport.org/cities/luxembourg/,12.9
139,16,0.60,0,7,No hay dato,No hay dato,$16.00,$0.55,$5.50,$3.10,$410,$320,$230,Lviv,"Lviv, Ukraine, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and leisure & culture.","717,800",71.98,✔ Equal,✔ Sexual orientation and gender identity,0.61,0.20,58,63,24,31,UAH,$8668.33,0%,"$8,668",10%,https://teleport.org/cities/lviv/,31
140,78,0.81,3,31,19,École Normale Supérieure de Lyon,$57.00,$2.40,$72.00,$16.00,$1500,$1200,$840,Lyon,"Lyon, France, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Lyon is one of the top ten city matches for 0.3% of Teleport users.","1,289,700",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,56,67,51,124,EUR,$40374.53,2%,"$40,375",10%,https://teleport.org/cities/lyon/,12.8
141,11,0.11,10,69,24,University of Wisconsin-Madison,$41.00,$1.70,$64.00,$14.00,$1600,$1300,$1000,Madison,"Madison, Wisconsin, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madison is one of the top ten city matches for 2.7% of Teleport users.","366,400",82.97,✔ Equal,Sexual orientation only,0.73,0.06,122,121,39,34,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/madison/,90
142,158,0.48,1,10,22,Autonomous University of Madrid,$46.00,$1.00,$71.00,$13.00,$1500,$1200,$870,Madrid,"Madrid, Spain, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madrid is one of the top ten city matches for 6.3% of Teleport users.","10,070,300",0.88,✔ Legal,✔ Legal,✔ Legal,0.21,78,173,134,124,EUR,$33711.41,2%,"$33,711",20%,https://teleport.org/cities/madrid/,94
143,115,0.35,1,10,17,490.84,$38.00,$0.80,$49.00,$11.00,$920,$780,$640,Malaga,"Malaga, Spain, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","603,400",0.88,✔ Legal,✔ Legal,✔ Legal,0.21,49,60,42,33,EUR,$33711.41,4%,"$33,711",20%,https://teleport.org/cities/malaga/,107
144,126,0.39,1,21,13,481.75,$36.00,$1.60,$62.00,$12.00,$1300,$1000,$770,Malmo,"Malmo, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","345,900",93.59,✔ Equal,✔ Sexual orientation and gender identity,0.10,0.25,103,74,19,30,SEK,$45986.38,9%,"$45,986",7%,https://teleport.org/cities/malmo/,No hay dato
145,8,No hay dato,5,8,No hay dato,No hay dato,$17.00,$1.10,$4.40,$37.00,$500,$400,$290,Managua,"Managua, Nicaragua, features a very safe living environment. This urban area is consistently ahead in tolerance.","1,056,300",83.04,✔ Equal,Sexual orientation only,1.00,0.15,33,43,3,17,NIO,$4736.48,2%,"$4,736",6%,https://teleport.org/cities/managua/,252
146,160,0.59,0,6,17,University of Manchester,$40.00,$2.40,$78.00,$16.00,$1500,$1200,$970,Manchester,"Manchester, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.
Manchester is one of the top ten city matches for 1.0% of Teleport users.","1,945,900",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,81,111,45,81,GBP,$39510.94,4%,"$39,511",5%,https://teleport.org/cities/manchester/,13
147,78,0.14,9,5,No hay dato,No hay dato,$43.00,$0.85,$20.00,$4.40,$870,$630,$390,Manila,"Manila, Philippines, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and leisure & culture.
Manila is one of the top ten city matches for 0.3% of Teleport users.","10,008,200",0.73,✖ Single only,✔ Legal,✖ Not legal,0.12,296,300,140,96,PHP,$6961.63,3%,"$6,962",7%,https://teleport.org/cities/manila/,12.5
148,85,0.78,3,31,19,Aix-Marseille University,$42.00,$2.00,$56.00,$15.00,$1200,$930,$720,Marseille,"Marseille, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","3,093,900",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,107,61,52,81,EUR,$40374.53,1%,"$40,375",10%,https://teleport.org/cities/marseille/,12.7
149,25,No hay dato,26,6,48,University of Antioquia,$32.00,$0.92,$29.00,$4.50,$620,$510,$400,Medellin,"Medellin, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and tolerance.
Medellin is one of the top ten city matches for 2.8% of Teleport users.","3,271,300",89.16,✔ Equal,Sexual orientation only,0.95,0.16,66,73,49,45,COP,$13430.45,1%,"$13,430",10%,https://teleport.org/cities/medellin/,12.5
150,56,0.27,1,24,16,University of Melbourne,$62.00,$4.00,$110.00,$12.00,$1900,$1600,$1300,Melbourne,"Melbourne, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, safety and healthcare.
Melbourne is one of the top ten city matches for 6.7% of Teleport users.","8,223,700",0.79,,✔ Legal,Varies by Region,0.10,140,177,87,125,AUD,$46433.30,7%,"$46,433",6%,https://teleport.org/cities/melbourne/,12.6
151,32,0.12,16,96,16,478.04,$35.00,$1.60,$46.00,$15.00,$1200,$990,$800,Memphis,"Memphis, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and leisure & culture.","1,548,200",70.00,✔ Equal,✖ No protections,0.10,0.09,91,79,61,52,USD,$54596.65,1%,"$54,597",5%,https://teleport.org/cities/memphis/,118
152,94,0.13,11,15,46,National Autonomous University of Mexico,$64.00,$1.00,$18.00,$5.60,$900,$710,$520,Mexico-City,"Mexico City, Mexico, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Mexico City is one of the top ten city matches for 0.7% of Teleport users.","32,933,200",0.61,✔ Legal,✔ Legal,✔ Legal,0.16,152,153,136,217,MXN,$17880.51,1%,"$17,881",4%,https://teleport.org/cities/mexico-city/,12.5
153,167,0.11,12,98,24,University of Miami,$36.00,$2.20,$100.00,$19.00,$2400,$1900,$1400,Miami,"Miami, Florida, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Miami is one of the top ten city matches for 0.3% of Teleport users.","5,578,900",67.19,✔ Equal,✖ No protections,0.53,0.07,177,237,113,147,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/miami/,75
154,164,0.63,1,12,26,Polytechnic University of Milan,$75.00,$2.00,$41.00,$18.00,$1800,$1500,$1100,Milan,"Milan, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Milan is one of the top ten city matches for 0.1% of Teleport users.","3,956,100",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,94,188,91,195,EUR,$35486.17,1%,"$35,486",11%,https://teleport.org/cities/milan/,12.8
155,30,0.11,10,69,24,Medical College of Wisconsin,$35.00,$2.30,$62.00,$12.00,$1500,$1200,$940,Milwaukee,"Milwaukee, Wisconsin, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and leisure & culture.","1,613,500",82.97,✔ Equal,Sexual orientation only,0.12,0.06,195,177,110,116,USD,$54596.65,0%,"$54,597",5%,https://teleport.org/cities/milwaukee/,90
156,130,0.13,8,85,24,University of Minnesota,$47.00,$2.30,$70.00,$16.00,$1900,$1500,$1200,Minneapolis-Saint-Paul,"Minneapolis-Saint Paul, Minnesota, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and leisure & culture.
Minneapolis-Saint Paul is one of the top ten city matches for 4.5% of Teleport users.","3,236,800",96.88,✔ Equal,✔ Sexual orientation and gender identity,0.46,0.08,206,197,102,165,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/minneapolis-saint-paul/,96
157,41,0.51,0,7,No hay dato,Belarusian State University,$38.00,$0.83,$15.00,$6.70,$470,$400,$330,Minsk,"Minsk, Belarus, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.
Minsk is one of the top ten city matches for 7.2% of Teleport users.","2,097,800",56.93,✔ Equal,Ambiguous,0.92,0.20,103,106,73,118,BYN,$18161.43,4%,"$18,161",1%,https://teleport.org/cities/minsk/,13
158,12,0.10,12,32,34,410.98,$53.00,$2.10,$51.00,$12.00,$930,$750,$580,Montevideo,"Montevideo, Uruguay, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in business freedom and tolerance.","1,452,900",96.40,✔ Equal,✔ Sexual orientation and gender identity,0.95,0.22,62,82,62,69,UYU,$20556.33,1%,"$20,556",8%,https://teleport.org/cities/montevideo/,302
159,93,0.25,2,31,5,McGill University,$38.00,$2.50,$63.00,$12.00,$1100,$930,$730,Montreal,"Montreal is the largest city of Canada's French-speaking region, and a center for finance, aerospace and international organizations. With its unique culture, bilingual residents (French/English) and beautiful architecture, Montreal offers 50 of Canada's National Historic sites—more than any other Canadian city. Add Montreal's tolerant people plus a relatively low cost of living and you get a city worthy of strong consideration.
Montreal is one of the top ten city matches for 15.0% of Teleport users.","4,264,200",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,107,84,54,98,CAD,$44843.44,4%,"$44,843",7%,https://teleport.org/cities/montreal/,12.8
160,257,0.81,25,9,21,Lomonosov Moscow State University,$68.00,$1.10,$36.00,$9.20,$1500,$1200,$840,Moscow,"By Kevin Kiseljov

Moscow is a lively city, rich in history and culture. It is Russia's national center for visual and performing arts and home to some of the best known performance companies in the world. Renowned for its grand architecture, the city boasts excellent travel connections and low cost of living. With more than 12 million residents, Moscow is among the most populous cities in the world, but roughly 40% of its territory is still covered by greenery.
Moscow is one of the top ten city matches for 4.7% of Teleport users.","22,286,900",0.16,✖ Single only,✔ Legal,✖ Not legal,0.18,253,289,205,309,RUB,$24805.49,6%,"$24,805",8%,https://teleport.org/cities/moscow/,No hay dato
161,83,0.68,0,4,No hay dato,Indian Institute of Technology Bombay,$36.00,$2.00,$10.00,$6.00,$980,$740,$500,Mumbai,"Mumbai, the most populous city in India, offers a wide variety of jobs from conventional industries to IT services. It is also home to the Bollywood film industry. As India's capital of finance, Mumbai has the greatest number of fin-tech startups, while the cost of living and rental prices remain reasonably low.
Mumbai is one of the top ten city matches for 14.2% of Teleport users.","21,842,100",24.29,✔ Equal,Ambiguous,0.55,0.06,142,159,40,105,INR,$5855.31,4%,"$5,855",8%,https://teleport.org/cities/mumbai/,12.5
162,191,0.80,1,30,10,LMU Munich,$56.00,$1.40,$74.00,$16.00,$2200,$1800,$1400,Munich,"Munich has a strong background in multiple industries, and is now a center for software and biotechnology. It's also the second largest publishing center in the world. People who love sports or nature aren't left out either: the Bavarian Alps allow winter lovers to indulge themselves while FC Bayern Munich is one of the most important football teams in the world.
Munich is one of the top ten city matches for 32.7% of Teleport users.","3,657,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,107,107,99,83,EUR,$45888.42,4%,"$45,888",4%,https://teleport.org/cities/munich/,12.8
163,72,0.10,33,6,No hay dato,University of Nairobi,$81.00,$1.60,$28.00,$6.10,$920,$680,$440,Nairobi,"Nairobi, Kenya, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","2,814,900",0.08,✖ Illegal,✖ Illegal (imprisonment as punishment),✖ Not legal,0.16,55,85,9,28,KES,$3084.43,14%,"$3,084",40%,https://teleport.org/cities/nairobi/,12.5
164,55,0.70,3,31,19,University of Nantes,$44.00,$2.20,$71.00,$17.00,$1200,$900,$640,Nantes,"Nantes, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","623,100",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,60,47,21,100,EUR,$40374.53,1%,"$40,375",10%,https://teleport.org/cities/nantes/,12.8
165,51,0.50,1,12,26,University of Naples Federico II,$52.00,$2.20,$50.00,$13.00,$930,$770,$610,Naples,"Naples, Italy, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in healthcare and tolerance.","1,913,800",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,75,65,63,34,EUR,$35486.17,-4%,"$35,486",11%,https://teleport.org/cities/naples/,12.7
166,47,0.11,16,96,24,Vanderbilt University,$38.00,$2.10,$66.00,$14.00,$1900,$1600,$1200,Nashville,"Nashville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Nashville is one of the top ten city matches for 0.3% of Teleport users.","530,900",70.00,✔ Equal,✖ No protections,0.65,0.09,148,191,41,61,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/nashville/,103
167,39,0.11,19,141,24,Tulane University,$54.00,$3.00,$53.00,$18.00,$1600,$1400,$1200,New-Orleans,"New Orleans, Louisiana, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.","947,300",72.81,✔ Equal,✖ No protections,0.29,0.10,148,133,53,73,USD,$54596.65,-11%,"$54,597",5%,https://teleport.org/cities/new-orleans/,101
168,220,0.41,4,26,24,Columbia University,$83.00,$2.90,$120.00,$18.00,$3800,$3100,$2400,New-York,"The New York metropolitan area is one of the most populated cities in the world. New York City itself is an international center for numerous industries including finance, theater, television, film, arts, and technology. It is also home to an astonishing 37% of foreign-born residents. Costs are high, but so are the energy levels and ambitious spirit. Whether you're visiting or planning to move, the ""Big Apple"" has something to offer for everyone.
New York is one of the top ten city matches for 13.9% of Teleport users.","28,940,400",86.72,✔ Equal,Sexual orientation only,0.46,0.09,360,286,216,175,USD,$54596.65,-1%,"$54,597",5%,https://teleport.org/cities/new-york/,107
169,91,0.86,3,31,19,University of Nice Sophia Antipolis,$57.00,$2.10,$44.00,$20.00,$1500,$1200,$840,Nice,"Nice, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.","370,900",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,47,33,29,23,EUR,$40374.53,-2%,"$40,375",10%,https://teleport.org/cities/nice/,No hay dato
170,61,No hay dato,2,36,39,University of Cyprus,$58.00,$1.40,$49.00,$16.00,$750,$600,$460,Nicosia,"Nicosia, Cyprus, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Nicosia is one of the top ten city matches for 0.9% of Teleport users.","234,900",73.65,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.19,92,104,48,27,EUR,$30769.09,3%,"$30,769",12%,https://teleport.org/cities/nicosia/,336
171,20,0.11,16,121,16,478.04,$27.00,$2.70,$45.00,$11.00,$1200,$990,$820,Oklahoma-City,"Oklahoma City, Oklahoma, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Oklahoma City is one of the top ten city matches for 1.6% of Teleport users.","1,199,600",67.67,✖ Unequal,✖ No protections,0.52,0.08,144,131,81,109,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/oklahoma-city/,139
172,19,0.12,9,70,24,University of Nebraska Medical Center,$36.00,$2.00,$51.00,$10.00,$1200,$990,$760,Omaha,"Omaha, Nebraska, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","639,900",72.81,✔ Equal,✖ No protections,0.42,0.07,150,143,30,64,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/omaha/,111
173,146,0.11,12,98,16,478.04,$38.00,$2.40,$56.00,$15.00,$1500,$1300,$1100,Orlando,"Orlando, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Orlando is one of the top ten city matches for 0.5% of Teleport users.","1,465,500",67.19,✔ Equal,✖ No protections,0.48,0.07,231,202,109,86,USD,$54596.65,12%,"$54,597",5%,https://teleport.org/cities/orlando/,90
174,71,0.88,0,1,3,Osaka University,$73.00,$1.60,$84.00,$7.50,$1100,$840,$600,Osaka,"Osaka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","10,762,400",0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,218,234,165,102,JPY,$37389.79,-1%,"$37,390",3%,https://teleport.org/cities/osaka/,12.6
175,123,0.48,2,31,13,University of Oslo,$57.00,$3.60,$84.00,$24.00,$2200,$1900,$1600,Oslo,"Oslo, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Oslo is one of the top ten city matches for 0.9% of Teleport users.","1,241,700",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.45,0.25,120,95,85,159,NOK,$66937.46,7%,"$66,937",5%,https://teleport.org/cities/oslo/,177
176,26,0.12,2,31,5,University of Ottawa,$42.00,$2.30,$89.00,$14.00,$1300,$1100,$840,Ottawa,"Ottawa, Canada, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Ottawa is one of the top ten city matches for 6.6% of Teleport users.","1,269,000",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,65,85,44,41,CAD,$44843.44,7%,"$44,843",7%,https://teleport.org/cities/ottawa/,246.7
177,3,0.44,3,27,6,University of Oulu,$64.00,$2.60,$14.00,$56.00,$1100,$910,$690,Oulu,"Oulu, Finland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","211,200",77.55,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.24,27,38,21,13,EUR,$40346.97,6%,"$40,347",9%,https://teleport.org/cities/oulu/,13.5
178,294,0.59,0,6,17,University of Oxford,$57.00,$2.80,$86.00,$14.00,$2400,$1900,$1400,Oxford,"Oxford, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","189,000",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,24,23,11,10,GBP,$39510.94,5%,"$39,511",5%,https://teleport.org/cities/oxford/,No hay dato
179,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,$26.00,$1.50,$6.00,$63.00,No hay dato,No hay dato,No hay dato,Palo-Alto,"Palo Alto, California, is among the top cities with a high quality of education. According to our data, this is a good place to live with high ratings in healthcare, environmental quality and economy.

Palo Alto is part of Silicon Valley and the wider San Francisco Bay Area. For more information on scores and rankings, check San Francisco Bay Area's Teleport profile.","165,100",No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,1%,"$54,597",5%,https://teleport.org/cities/palo-alto/,No hay dato
180,82,No hay dato,15,22,No hay dato,No hay dato,$72.00,$2.70,$88.00,$17.00,$1400,$1200,$880,Panama,"Panama, Panama, features a very safe living environment. Our data reflects that this city has a good ranking in taxation and tolerance.","1,228,800",60.76,✔ Equal,✖ No protections,0.75,0.07,69,96,19,41,PAB,$19455.42,9%,"$19,455",5%,https://teleport.org/cities/panama/,102
